Title,Author,Date,Rating,Content
Find out how to heal!,Linnyadalyn,06/02/2024,5 Stars,His podcasts focus on healing chronic illness through herbs and healthy foods! You won't be disappointed! These pods casts are great but his books tell you so much more!!
Such VALUABLE Podcast,Dee1785,05/17/2024,5 Stars,"Medical Medium provides such powerful information to help us heal. These podcast episodes provide so much free information. Medical Medium books are even more amazing. I have started to heal thanks to this information. Thank you AW, SOC, and God thank you!!! 🙏🏼🙌🏼"
"Thank you, thank you, thank you!",pearleternal,05/09/2024,5 Stars,"I’ve been hiding in the shadows and healing with your beautiful, compassionate words and knowledge about food. My favorite book is Life-Changing Foods! I love how you talk about the spiritual aspect of foods. I now choose to speak up about how much I Love what you teach us and the way you support everyone in the world!"
optimal health,celery every day,04/27/2024,5 Stars,Best thing i ever have done for my health.!!No more guessing. I’ve been implementing MM protocols for over 5 years. My health and energy is better than ever. I didn’t understand what was happening to me over the years. All those symptoms gone. I started with celery juice and heavy metal detox smoothie! Incorporating supplements and protocols. Just amazing results. So many haters out there just remember to experience for yourself. So fortunate to have Anthony dedicate his life to helping us all heal. We all deserve HEALTH!!
Best show ever empowering,kellyzara,04/10/2024,5 Stars,Anthony william saved my life four years ago. I prayed to the angels for help when I was dealing with chronic illness and fatigue. I had long haul covid in march 2020 and I desperately wanted to get better so I could keep up with my children. He gave me my life back with his incredible knowledge of celery juice and smoothie recipes. My energy came back instantly and I was able to start healing. If I hadn’t discovered this method I probably would not be alive today.
Medical Medium Podcast,Ben_Coe,03/27/2024,5 Stars,"Words cannot express these impact these living words had on my life already. I finally have answers for my long time struggles with chronic symptoms and I know I am healing in ways I could never have imagined possible last year. Please listen for yourself and be open to receiving a true healing ministry and wisdom into your life. All glory be to Christ. Thank you to AW and SOC and everyone in the MM community for your support and kindness through very trying times. These radio shows are fantastic, useful, and light hearted. I am looking forward to more listening whenever I can."
My hero,NickLeah21!,03/01/2024,5 Stars,"Anthony and Spirit are my hero’s.  The MM info is life changing.  I know I am alive today because the MM info saved me.  I couldn’t be more grateful!  I’ll also never forget the early MM days on IG lives, the singing the connecting, it was priceless! Thank you AW and SC, much love for you, always!  

Wellness Momma!"
Gross,shhxjks,03/09/2024,1 Star,Could reallllllyy do without the cringey acting amd irritating sound effects!!!
I’m a believer and a survivor,luvcrystalgazing,02/25/2024,5 Stars,"I give Anthony a 5 star. I’m 74 year old grandmother. Had a heart attack like 4 years ago. My last yearly checkup with my heart doctor. My results came back excellent. He said your heart is normal. His first question was. “What are you doing”. I told him I was eating healthy. Fruits and vegetables. Staying away from sugar. bread. eggs. Pasta etc. He told me “whatever your doing. Don’t change a thing. “ He took me off all the medications. Couple days later. I was sitting around. With a big smile on my face. Thinking about my office visit. I thought darn. I forgot to tell him. The most important thing. That I had been celery juicing each morning for approximately 6 months. Can’t believe that I forgot  after juicing. It had a big impact how good I felt. I owe this to Anthony’s knowledge. Can’t say enough good things about him. I’m so grateful. I bought a nice juicer. But when I could afford the Omega 1500 juicer. I bought one. It’s a great juicer and quiet. I only can tell my story. How it has effected me. I feel pretty good. I do take some of the VIMERGY vitamins liquid and capsules. Don’t take all that I’d like. As we know, we do what we can. Before I found Anthony. I was sick and searching for a healthy way of living. That’s when I found Anthony. As my favorite teacher. Dr. Wayne W. Dyer stated. “When the student is ready, the teacher will appear. It hit me. Dr. Dyer had mentioned Anthony in his podcast or his radio program. Referring him. Bingo the teacher appeared."
043 Healing Tools,Jodilynn•••,02/18/2024,5 Stars,"This helped me so much. It gave me hope and comfort especially when I think of my future self. My brain does unfortunately tend to go back into fear mode from time to time when I think of 2 things:

1) I received 2 terrible medical treatments back in 2021. My soul made the wrong choice and I have to now live with that. Do the healing tools apply even to someone like me? I often wonder if I’m beyond repair because my DNA is now altered and who knows what else will happen to my body because of these non regulated treatments . 

2) I have healed many conditions already including trigger thumb, acne, SIBO, UTIs, and others while on MM protocols for over 4 years. Still working on headaches but even worse than that is back pain. X-rays show lots of stuff gone wrong with my back including regenerative discs, bulging discs, stinosis , etc. Is there hope for me with my back? It’s hard for me to know that the pain will improve. I know my brain needs to know this. I will work on it. 

I love you MM!!! Thank you and SOC for giving me and others a chance at a happy and joyful life! ❤️

Love,
Jodi"
A mental terrorist,CRWDtalk,02/23/2024,1 Star,The “medical medium” is a conspiracy troll who prays on people. His hypocrisy and lack of humanity is beyond comprehension. Please do not support
Meditations,Macika144,02/04/2024,5 Stars,"I recommend for everyone to listen to each episode multiple times as they are so informative, engaging and helpful. I love the guided meditations before bed. During the meditations, I always set the timer to the end of the episode since they are so relaxing and I fall asleep before they are done."
life changing advice…A Blessing,SaraBarnhart,02/02/2024,5 Stars,"MM improved my health and quality of life starting with celery juice.
After one month of celery juice, my labs changed for the better.
To this day, people ask me what I’m doing, what my health regimen is, because they see the difference in my energy level and appearance.
Thank You MM.

I heard the recent podcast about the haters, and anyone who doesn’t see a doctor when they get sick cannot blame anyone but themselves.

MM advice drastically improved my life, but I still see my doctor for checkups, and I get sick sometimes because I don’t follow everything perfectly, plus genetics and flu season…"
My soul connects with this Information 🕊️⭐️,Adriana Holmes,01/29/2024,5 Stars,"I love the podcasts!  It can be difficult to set time aside to read the books so getting this info in while multi tasking is helpful.  I find AW to bring me peace listening to him.  He motivates me to continue and reminds me every show that, I CAN heal! It reminds me of where I came from and that was a dark place.  I used to be addicted to food, drugs and caffeine.  I live a completely sober life now and happily so.  People are shocked when they find out that I don’t use any caffeine and workout at 6 am.  I’ve healed acne, irregular periods, overactive bladder, migraines, lymphedema, hair loss, heart palpitations, CFS, PCOS, and I haven’t been sick in over 2 years!"
Anthony Williams’s mission is to save lives and that’s exactly what he’s doing,Sianna Lyons,01/25/2024,5 Stars,"I speak from my own experience, and from the experience of those for whom I’ve implemented Medical Medium protocols, when I say that Anthony Williams has precious, factual, vital healing information for anyone suffering from chronic illness. Just because the mainstream medical community is either spiritually void or lacking in the imagination to comprehend that some people can communicate with spirit, Anthony William has been unfairly ostracized, despite the fact that he has had MDs calling him to do patient consultations for upwards of 30 years…and even though his information is healing more people around the globe than any other modality, in fact, more than all other modalities combined. The medical research community, however, has no problem poaching his information and claiming it as their own, for eg when Harvard scientists published a paper on Epstein Barr being a causative factor in multiple sclerosis in 2022. Anthony William write about that over a decade agio and has been teaching people for DECADES about EBV being behind MS and every other known chronic “mystery illness”.Some day I believe AW will have to be acknowledged by all as the incredible healing medium that he is because millions of people around the world continue to heal using his protocols and his information will continue to be proven by future research. I’m just grateful that I have the common sense and spiritual understanding to accept that he gets his info from clairaudience, or hearing spirit."
I’m soaking it all in!,Arizona Sunset,01/22/2024,5 Stars,Please keep doing what you’re doing. 🌵
We are healing from all types of symptoms,Modaisys,12/10/2023,5 Stars,Thank you for all that you do!
Fraud,grateful4007,01/20/2024,1 Star,This man is a fraud and his misleading information has contributed to followers deaths. Please beware and continue to see your doctor to make sure your health is on track. RIP to those who’ve passed while wholeheartedly believing in him. I hope one day he’ll be exposed.
Thank you!,Jjquip77,11/29/2023,5 Stars,Thank you for helping my kids and me heal. God bless you. Thank you!
Pure Gold,JimNLex,09/27/2023,5 Stars,The purest health information & the most divine  meditations. There are no words to truly express the value of this resource. There are no words to accurately express our gratitude for all the time and energy Anthony and his team have put into providing all of this for free. God bless and keep you all! Peace be with you in Jesus name.
Truth in Health,Ghastings,07/25/2023,5 Stars,"Finally! We have a source for truth to help us heal. Anthony William is a blessing for everyone. He is humble, kind, fun and delivers health information in a way that’s easy to understand. PLUS it’s the truth! The Medical Medium protocols have brought me back to life from years of chronic pain and illnesses. I can’t say it loud enough. I tell anyone and everyone who will listen. Please… bring his books, podcasts, IG, FB and You Tube into your life. Start with MM Morning: Lemon Water, Celery Juice and Heavy Metal Detox Smoothie. This healthy morning routine will perform miracles in your body. There’s a lot of info..but  it’s really fun to learn once you get going. Start with the MM morning!!! Happy Healing!!! Thank you AW and SOC!!! Y’all are changing the world for the better. THANK YOU SO MUCH!!!"
Celery juice is magic,AnimalHealer27,07/14/2023,5 Stars,I pooh-pooed celery juice but it works if you work it. Warm water with lemon wait 20 min then fresh celery juice. W o w. Magic. ❤️❤️❤️
holy messages of the light,naomi_viveka,06/29/2023,5 Stars,"Anthony William is a true messenger of God. If you want to know for yourself, read his first book, Medical Medium. (You can check it out from you local library if you don’t want to buy it.) His podcast has so much life-saving and healing information in every episode. I have listened to almost every podcast episode at least once. I’m using medical medium information to heal depression, anxiety, paranoia, ptsd, heart palpitations, fibromyalgia, neurological fatigue, chronic mystery nausea, severe abdominal pain, and many more symptoms. I have improved since implementing mm cleanses and customized mm tools for myself. I am functioning because of this information. And I have the faith, and physical evidence to know that I will take my healing all the way with medical medium information."
Prove it to yourself,TheJoyfulWarrior,05/06/2023,5 Stars,"I challenge anyone who criticizes the Medical Medium to try his recommendations for at least 30 days in a pure way.

There is absolutely No Way you would ever want to follow any other advice for food consumption - ever again. 

Not only that, but you will realize every word he says is either heaven sent, full of Compassion, or just really patient with the rest of us.

The Medical Medium is a gift of our time.

Thank you so much AW 🌸"
This guy needs to go to school…,Really though…,06/12/2023,1 Star,This person has no clear understanding of how the lymphatic system works or how the immune system in general works. This is really confusing and and this person speaks with authority when they don’t really have any clear understanding of basic biology and health. Extremely surprised by the popularity of this person.
Celery Cult,Jaycee_Regis,05/20/2023,1 Star,This show has all the signs of a cult leader preaching to the cult congregation. It’s terrible and not worth listening to u less you want to participate in a demonic sham.
This man is Amazing!,moreRoslyn,05/05/2023,5 Stars,I have followed Anthony william before his first book. He has helped me and my family. He is the most compassionate person I know and I’m so glad he is here to help others.
Word salad from a scammy cult leader,Krs10Delaney,05/02/2023,1 Star,This guy is a charlatan and a fraud.
Why do people believe him?,amesstewart,04/25/2023,1 Star,"There are people he is training claiming that histamine responses are the body detoxing. News flash, if celery juice is making your throat swell up and your body break out in hives, you are not detoxing you are having a histamine response. This guy is going to lead people off of a cliff. The last two episodes are so hyped up, redacted, this person is not humble, not questioning science. How are all of his followers skeptic of the healthcare industry and not of him? There is a history of people like him manipulating others and this is not ok. This is not an example of a healer. A true healer is humble. A true healer and true teacher would not be so intent on being sure they are given credit…how about checking you information, sir? You call it a plot I dont see you actually caring about anyone when you are lying and saying that a histamine response is the body detoxing. Someone can die from that. Are you aware? If you were a healer you would care. This is all so dangerous. People wake up and remember that 60% of people heal from placebo so the mind-body healing is real. Plant based organic foods are going to make a lot of health problems fall away, so is giving up all preservatives. There is nothing special that he has created except the idea that he created the health and wellness industry. Trying to make this whole conspiracy thing up…this is not how a healer behaves. This is so awful and harmful. Do not listen to him without a healthy amount of skepticism. He is not a good person."
Medical Media Protocols helped me heal from Endometriosis,jjnhyhyvrklk,04/24/2023,5 Stars,"Endometriosis is a sickness that every doctor tells you is not curable and that it can. only be treated and controlled but not curable. 
Well thanks to the Medical Medium protocol I am Endometriosis free."
Medical Medium recommended,traderfxvv,04/24/2023,5 Stars,"My life has changed since I started to follow him, I have been cured of some diseases."
Life changing healing answers,A content user,04/24/2023,5 Stars,"AW info saved my life. From bedridden in pain, exhaustion to thriving! Eternally grateful to spirit & AW! My incredible healing results proven on blood, urine, mammogram tests by western medical tests. I went to so many different Dr’s & healers of every community you can think of, western, eastern, naturopathic, holistic, nutritionist, acupuncturist, list & money went on & on. 
My Dr & PA in western & functional med monitored my wellness as I applied MM info 100% not just diet, his whole protocol that is much more than diet. I read his books & knew my healing path And I have proof in black & white his published information healed me. My Dr & PA were floored. They never saw this kind of healing or speed of healing. I healed significant things, including my kidney function, my pain, my CFS. It was amazing! Thank you I am eternally grateful. Thank you Amber for being a hero & protector of the light in this world with AW. ❤️"
Incredible!!!!,Kimistubbs,04/22/2023,5 Stars,"You and spirit are amazing, so helpful. Thank you for all you do to help the world heal."
MM Info saved my life…,amy9daLa,04/21/2023,5 Stars,"As I was about to start my rotations a decade ago, I had to leave medical school (in my 20s) as a result of developing a crippling mystery systemic illness. I spent 7-8 yrs almost entirely bedridden with cumulatively >100 symptoms and conditions. Life was tortuous and became overwhelmingly bleak overnight. I was living moment to moment most of the time, unable to breathe, triggered by everything, flat-lined by anything and everything, internally toxic and severely deficient. I received immunotherapy, etc., put on lots of meds. (which offered hosts of new problems) and was ultimately sent to a prominent clinic for care. No one had answers and not even sufficient labels for what was happening to me. I was put on even more (10-15) prescription drugs and was sent home weaker than ever before. I received care in both conventional and alternative medicine. I changed my diet multiple times.
 Unfortunately, I remained very sick, increasingly more toxic and deficient for years on end…that is, until I saw the very first MM book in 2019. Somehow, I had the strength to read it (mostly out loud…which was a miracle in and of itself). The information resonated so deeply, I sobbed while reading it. Note that I did have to leave behind my prior medical and science background to a degree to accept this information. That being said, it possesses an internal consistency not found in medicine. With all the support necessary, we began implementing MM healing tools and removing troublemaker foods that were feeding pathogens, chronically dehydrating me and acting as neurotoxic cold turkey (note: removing ALL corn permanently was SO hard for me, personally)!  I eventually read all of the books. Liver Rescue let me know that when I felt I couldn’t persevere, the Living Words would persevere for me and be the hands that would lift me up and allow me to keep going. I was tested for EBV. My titers for a “previous infection” were 20-30x higher than diagnostic levels. I was desperate to feel better, so I attempted to be militant with applying the information I was learning. I haven’t looked back since. I just focused on my progress every step of the way and got better and better over time. It only took 3 days to see a big change in me, so we knew the information for sure was the real deal (nothing else in alternative. I’ve been healing the same way I suffered -moment to moment, hour to hour, and one day at a time. Today, I only consume the “Holy Four” foods.  I’ve been working on my healing for >3.5 yrs and have used countless customizable MM healing tools and supplement protocols long-term/daily. I still have a ways to go but am already a new person. I feel I have been/ am being reborn. I have reversed most of what ailed me.  I have been off of ALL medication for 3.5 yrs (even OTC drugs). This information heals not only what’s physically wrong but also heals you at a soul and spiritual level. Anthony William is an angel walking this earth, selflessly working to help humanity every day of his life. It’s all a grassroots effort. He doesn’t sell anything - he even tells you to get his books at the library. Healing is not linear, not even a little. It has been and is very hard work and not for the faint of heart. It takes a very long time (especially if you’ve been very sick long-term/all your life), but it is honestly the single most important work I know I could be doing. Now, I am also helping a number of others (volunteering) to heal while they learn the information for themselves and get out of the woods (and out of the Matrix). Even though today my life is nothing as I had planned or dreamed, I am eternally grateful to be here, to know how to truly cherish and care for my body, grateful to know the answers. I don’t have to fear illness anymore. This is THE one true path to healing and a lifetime of true vitality. Thank God for Anthony William, SoC and MM info. All my love to you, always."
Shocking & Disgusting!!!,Kona73,04/21/2023,5 Stars,Amber V. is truly an Angel & Hero to you and to all of us!  Please expose them all…I for one would definitely watch the doc about you exposing them & this plot! Please Go get them!!!
This podcast is really helpful.,MuscleLegs,04/20/2023,5 Stars,This podcast is really helpful. So thanks 🙏 Anthony William.
Thank you!,Chlytie,04/20/2023,5 Stars,So grateful for this life-saving information!
Love Love MM Life saver!,Twins0307Leszcz,04/19/2023,5 Stars,"I want to say Thank  you so much for MM and his information and especially books, that thought me so much and save my disabled children Life. So unique and powerful information that can heal your body and brain. Thank you Anthony William you are truly an Angel for so many and for my Family. <3"
Thank you,JESSA🤍,04/02/2023,5 Stars,I love your instagram and I joined your podcast cant wait to listen to it. I have no doubt that it’s awesome! Thank you for sharing and helping.
I don’t get it,Graewater,04/12/2023,1 Star,"He starts talking and I can’t follow what he’s talking about. I think he’s got a lot of great ideas and his instagram is great for info. Two of his episodes sounds like he’s talking to someone and it’s just confusing. Another of his episodes about anxiety, he’s just saying all the symptoms and not saying anything helpful. Talks about how mild and severe anxiety is but everything he’s saying are things that we already know. I didn’t enjoy the podcast at all and I tried 3 episodes and I just think it’s who he is. I’m sorry!"
Tells the truth!,EmDmBa,03/31/2023,5 Stars,I love listening to these! Such healing information and healing meditations!! And tells the whole truth on how to heal! Thank you so much MM!!❤️
Practical and comprehensive healing information.,BlueSky_144,03/07/2023,5 Stars,Had excruciating knee pain for the past three days and finally came around to listening to the Neurological Symptoms podcast (for the second time). I was blown away by the information. Information a conventional doctor does not have to help me understand where the pain came from and how to address the cause.
Torture,TBobo,03/26/2023,1 Star,This guys talks forever repeating himself. He likes hear himself talk.
I Could Cry I’m so Happy!,LABERN93,03/07/2023,5 Stars,"I can’t even tell you how much a resonate with episode 025 with Alyssa Degati. I can’t even explain how much of what she had experienced I have experienced since I was 13. Omg I could cry that someone understands. The hormonal, the cysts, the doctors not trusting me, the birth control, the back and chest pain and blood clots from the birth control and the mystery illness nobody knows how to help. Omg I have never had an answer before. This points me in the direction to heal. I found this by fate and I am confident it can help me find healing. This is the start to my journey to get past this. THANK YOU from all of my heart as I sit here in tears for sharing this! My goal is to try to get off these meds and get my health back. Thank you!"
Critical information,Mpmckellar,02/17/2023,5 Stars,Medical Medium saved my life!! These podcasts offer really important information and I especially love the meditations!
Lies lies lies,The Voyerguy,03/01/2023,1 Star,Claiming to speak to a spirit that gives medical advice to cure your ailments ? He's nothing more than a grifter. His content is full of erroneous content he labels as facts.
Quack,Swicord Family,02/28/2023,1 Star,"He believes that old airliners are used to spray chemicals all over the earth. No evidence. No witnesses. No invoices or receipts for such an expensive endeavor. Listen to such rubbish for entertainment, but take action on his meanderings at your peril."
Condescending and takes things to the extreme.,Filtz89,02/18/2023,1 Star,"The episode I listened to I couldn’t make it through more than 20 minutes. It’s obvious he doesn’t know what he’s talking about and gives extremely dumb examples of the things that yes some people are doing, but it’s not the way it’s suggested to do.  Exaggeration and repetitive delivery style are a hard listen."
More Episodes please,PT assist/TK,02/12/2023,5 Stars,"These podcasts are really good! I have the books, but these are so convenient to listen to and re-listen to….when you don’t have time to sit down and read a book."
Medical medium is saving us all,Raverstud,02/11/2023,5 Stars,"Two years ago I was introduced and I have moved forward is many leaps and bounds. Low carb, did it. High protein high fat did it. No fruit did it. Almost every podcast is my story. I was just about dead. No exaggeration. I was too I'll to even do most of these things and still can't handle some of the detoxes but after living on fruit and slowly introducing foods after being able to eat nothing   ( also not an exaggeration) I've come back. I am finally able to tolerate the celery juice and I'm going 6 months strong. Fruit is the answer. Every doctor is always pushing no fruit, low carb. Even the holistic or natural ones. This was truly what got me back on track to not just surviving but thriving. Everyday I'm stronger and some are still very hard but when I look back I see the huge improvements in my life. After being sick must of my life I'm 45. The road to recovery is very long but it exists. I tried everything people, doctors  natural and regular and everything in between. Ive been chasing good health for 30 years and nothing ever worked. Until now. Thank you Anthony and Spirit. Than you! I'm getting my life back and bring those around me too! 🥰"
Please Make More,DayTripperJinnie,02/09/2023,5 Stars,"The only issue I have with this Podcast is that there aren’t more of them. I know Anthony is busy, but I would listen to these podcasts weekly if he made them. I enjoy all of them!"
My favorite podcast,Sasa Peace,01/23/2023,5 Stars,"I love this healing information, especially the breathing light meditation. I listen to the breathing light meditation everyday. It healed my anxiety. I listen every morning when I wake up. It’s a great way to start the day. Thanks so much!!"
"Genuine, Trustworthy Information!",Olijujo,01/02/2023,5 Stars,"So grateful for the time and energy MM gives in order to spread the opportunity for healing to everyone. I was skeptical for a few years until I gave it enough time and deep discernment to see the consistency and wisdom of his information. It is tough to hear these truths, but so important to know them."
Angel on Earth,loveanscomphasion,12/31/2022,5 Stars,"So much information here!  Medical Medium gives from the heart with all of these free and amazing podcasts.  The meditation are amazing, especially the full moon meditation.  Do yourself a favor and listen to all of his podcasts - cutting edge health information  geared only toward healing you.  There is nothing in these podcasts from medical industrial complex, only life changing natural and sustaining information.  It is an honor to be here at this time with Anthony sharing so much SOC wisdom."
Amazing,Jtime96,12/27/2022,5 Stars,Medical Medium has changed my life. The protocols are absolutely the best way to heal. It takes determination and patience but the protocols work! I have so many of his books! Amazing! jtime96
Help for the lost,Ginginmama,12/14/2022,5 Stars,The podcasts and Medical Medium books have saved my life. Offered comfort and hope when there was none and true and important information from above to heal in this world of confusion. I took the leap of faith to follow and I thank the angels for leading me to this incredible information. Ever day I get stronger with Anthony and Spirit of Compassion’s guidance. I am truly grateful!
Amazing resource,NattiJo,12/14/2022,5 Stars,I love these podcasts. I listen to them all the time. I use the mediations regularly and the podcasts on different topics are packed with information. I am so grateful that this is all provided for free and for all the work that AW does.
From Hopeless to Healed ✨🤍,Jackie_B.,12/07/2022,5 Stars,"Anthony William is a messenger of truth in an ocean of deceit and confusion. The information he delivers on these Podcasts always sets the record straight. You are never left without clarity or closure, and the messages are always consistent. 

After 11 years of suffering, lost hope, and defeat, I have finally found answers and am taking my life back one step at a time. Future generations will heal because of Anthony and the information he spends his life delivering. I am forever grateful for AW and SOC!"
Greatest Prophet of our times,HealedByMM,11/27/2022,5 Stars,"Anthony William brings divine information to humanity in order to heal the epidemic of chronic illness sweeping our planet. But it doesn’t stop there. Anthony’s protocols from Spirit of Compassion not only heal the physical body, they are a healing balm for the soul and a revitalizing elixir for the spirit. 

When you endeavor on medical medium protocols (and there are many that are all customizable- no “one size fits all” here) you not only begin a journey to heal chronic illness, you walk the path of healing body, heart, mind, soul and spirit. 

If the millions of rave reviews and healing stories of people around the world don’t shake you and wake you up to the fact that there is something real, powerful, and truthful here, how about this: it works. It’s the only set of chronic illness protocols that are actually ERADICATING chronic illness around the globe. The medicine/pills/shots/therapies out there now are meant to manage- pain management, symptom suppression for a short period of time until it gets worse then more pills, more shots, more more more. All the while, never knowing- “what is the root cause in the first place??”

Medical medium information gets to the heart of the problem and eradicates trouble makers causing Illness. 

Do yourself a favor and listen to this man. Your life may very well depend upon it."
Could be boiled down to a 5 minute episode,a mom2,12/03/2022,1 Star,I find the inane rambling of this podcast absolutely maddening. Get to the point. There may be some good advice buried in these episodes but I won’t waste hours of my time listening to it to find out.
Thank you God for healing 🙌🏼,VibrantMariah,11/25/2022,5 Stars,I admire Anthony Williams hard work to bring us the truth and that isn’t easy but with faith all things are possible even healing. To have the answers and understanding of why I haven’t felt my best is in itself freeing. Thank you thank you thank you!
AW you are my angle!,F. Dean,11/23/2022,5 Stars,"Thank you for all the truths that you are gifting us! Love each and every one of your podcasts, books, and shows."
Finally connected the dots,TBWB,11/12/2022,5 Stars,I found Anthony William (Medical Medium) when I was looking for a natural way to cure Lyme disease after I was told to go on more rounds of several antibiotics for it. I started reading online about him and listening to his podcasts and podcasts where he was a guest and everything started to connect and makes sense to me. It literally was finding the missing piece of the puzzle in regards to my health. Everything he talked about was like he was talking directly to me and what I was experiencing. I couldn’t believe it. Highly recommend listening to his podcasts and reading his books for answers to your health problems. So blessed to have found him.
So grateful to know about Anthony while on my intense healing road,Grandmasqueen,11/10/2022,5 Stars,"Anthony, thank you, I’m learning so much from your books, podcasts, videos. I am the definition of so much that you teach about. Just listened to the anxiety podcast & feeling hopeful that I can & will heal. Thank you."
Thank you!!!,Natasha 86,11/07/2022,5 Stars,I think your episode about anxiety might just save my life. Thank you.
It works!!,DiannaRostad,11/06/2022,5 Stars,"I own all his books and consult them like dictionaries, because IT WORKS! I give the books as gifts and send them to sick friends. I wish I had known about Medical Medium when my daughter Jessica was sick with cancer :-( 

Thank you, AW & SOC"
